Código,Hogares sin NBI,Hogares con NBI,Total,CO_FRAC_RA
020030106,215.0,47.0,262.0,3_1_6
020030107,170.0,177.0,347.0,3_1_7
020030108,72.0,116.0,188.0,3_1_8
020030109,225.0,2.0,227.0,3_1_9
020030110,108.0,84.0,192.0,3_1_10
020030111,211.0,19.0,230.0,3_1_11
020030201,295.0,28.0,323.0,3_2_1
020030202,307.0,26.0,333.0,3_2_2
020030203,332.0,4.0,336.0,3_2_3
020030204,283.0,5.0,288.0,3_2_4
020030205,333.0,36.0,369.0,3_2_5
020030206,334.0,33.0,367.0,3_2_6
020030207,404.0,16.0,420.0,3_2_7
020030208,336.0,18.0,354.0,3_2_8
020030209,304.0,7.0,311.0,3_2_9
020030210,187.0,6.0,193.0,3_2_10
020030211,230.0,27.0,257.0,3_2_11
020030212,315.0,50.0,365.0,3_2_12
020030301,476.0,0.0,476.0,3_3_1
020030302,329.0,44.0,373.0,3_3_2
020030303,258.0,2.0,260.0,3_3_3
020030304,205.0,8.0,213.0,3_3_4
020030305,244.0,1.0,245.0,3_3_5
020030306,301.0,1.0,302.0,3_3_6
020030307,290.0,18.0,308.0,3_3_7
020030308,257.0,6.0,263.0,3_3_8
020030309,137.0,22.0,159.0,3_3_9
020030310,279.0,114.0,393.0,3_3_10
020030311,305.0,0.0,305.0,3_3_11
020030401,342.0,12.0,354.0,3_4_1
020030402,199.0,17.0,216.0,3_4_2
020030403,274.0,5.0,279.0,3_4_3
020030404,259.0,67.0,326.0,3_4_4
020030405,244.0,44.0,288.0,3_4_5
020030406,295.0,13.0,308.0,3_4_6
020030407,269.0,1.0,270.0,3_4_7
020030408,261.0,10.0,271.0,3_4_8
020030501,333.0,40.0,373.0,3_5_1
020030502,290.0,1.0,291.0,3_5_2
020030503,462.0,7.0,469.0,3_5_3
020030504,239.0,23.0,262.0,3_5_4
020030505,327.0,3.0,330.0,3_5_5
020030506,215.0,0.0,215.0,3_5_6
020030507,364.0,4.0,368.0,3_5_7
020030601,351.0,3.0,354.0,3_6_1
020030602,159.0,16.0,175.0,3_6_2
020030603,305.0,7.0,312.0,3_6_3
020030604,316.0,4.0,320.0,3_6_4
020030605,270.0,59.0,329.0,3_6_5
020030606,253.0,2.0,255.0,3_6_6
020030607,310.0,2.0,312.0,3_6_7
020030701,136.0,0.0,136.0,3_7_1
020030702,398.0,17.0,415.0,3_7_2
020030703,416.0,37.0,453.0,3_7_3
020030704,351.0,18.0,369.0,3_7_4
020030705,254.0,14.0,268.0,3_7_5
020030706,271.0,12.0,283.0,3_7_6
020030707,475.0,29.0,504.0,3_7_7
020030708,146.0,13.0,159.0,3_7_8
020030709,388.0,16.0,404.0,3_7_9
020030801,318.0,3.0,321.0,3_8_1
020030802,205.0,7.0,212.0,3_8_2
020030803,337.0,4.0,341.0,3_8_3
020030804,214.0,3.0,217.0,3_8_4
020030805,208.0,8.0,216.0,3_8_5
020030806,184.0,19.0,203.0,3_8_6
020030807,124.0,42.0,166.0,3_8_7
020030808,181.0,26.0,207.0,3_8_8
020030809,296.0,8.0,304.0,3_8_9
020030810,222.0,34.0,256.0,3_8_10
020030901,368.0,20.0,388.0,3_9_1
020030902,203.0,3.0,206.0,3_9_2
020030903,339.0,3.0,342.0,3_9_3
020030904,369.0,45.0,414.0,3_9_4
020030905,199.0,23.0,222.0,3_9_5
020030906,189.0,7.0,196.0,3_9_6
020030907,209.0,83.0,292.0,3_9_7
020030908,232.0,80.0,312.0,3_9_8
020030909,361.0,10.0,371.0,3_9_9
020030910,258.0,68.0,326.0,3_9_10
020031001,371.0,6.0,377.0,3_10_1
020031002,296.0,27.0,323.0,3_10_2
020031003,230.0,27.0,257.0,3_10_3
020031004,287.0,11.0,298.0,3_10_4
020031005,185.0,17.0,202.0,3_10_5
020031006,329.0,61.0,390.0,3_10_6
020031007,297.0,43.0,340.0,3_10_7
020031008,231.0,43.0,274.0,3_10_8
020031101,367.0,0.0,367.0,3_11_1
020031102,345.0,109.0,454.0,3_11_2
020031103,287.0,97.0,384.0,3_11_3
020031104,369.0,17.0,386.0,3_11_4
